+21.7
[1.0, 1.0], 202 -21.7    0
[2.0, 0.05], 402 -47.6    -26.6
[3.0, 0.26], 607 -33.3    -11.6
[4.0, 0.13], 806 -39.5    -17.8
[5.0, 0.56], 1006 -26.7   -5
[6.0, 0.13], 1210 -39.2   -17.5
[7.0, 0.25], 1410 -33.9   -12.2
[8.0, 0.03], 1611 -51.9   -30.2
[9.0, 0.07], 1815 -45.3   -23.6


